Na1=A*D1,Na2=k1*M1*B*D3,Na3=-k1*M1*B*D2,Na4=Cero,Na5=Cero,Na6=Cero,Na7=Cero,Na8=Cero,Na9=Cero,Na10=Cero,Na11=Cero,Na12=Cero,Na13=Cero,Na14=Cero,Na15=Cero,Na16=Cero,Na17=Cero,Na18=Cero
Nb1=Cero,Nb2=E0*k2*M2*B*D3,Nb3=E0*k2*M2*B*D2,Nb4=Er1*C*D5,Nb5=-Er1*C*D4,Nb6=Cero,Nb7=Cero,Nb8=Cero,Nb9=Cero,Nb10=Cero,Nb11=Cero,Nb12=Cero,Nb13=Cero,Nb14=Cero,Nb15=Cero,Nb16=Cero,Nb17=Cero,Nb18=Cero
Nc1=M1T,Nc2=-k7*Uno,Nc3=k7*Uno,Nc4=Cero,Nc5=Cero,Nc6=Cero,Nc7=Cero,Nc8=Cero,Nc9=Cero,Nc10=Cero,Nc11=Cero,Nc12=Cero,Nc13=Cero,Nc14=Cero,Nc15=Cero,Nc16=Cero,Nc17=Cero,Nc18=Cero
Nd1=Cero,Nd2=k7*Uno,Nd3=k7*Uno,Nd4=-M2T,Nd5=M2T,Nd6=Cero,Nd7=-M3T,Nd8=M3T,Nd9=-M4T,Nd10=Cero,Nd11=Cero,Nd12=Cero,Nd13=Cero,Nd14=Cero,Nd15=Cero,Nd16=Cero,Nd17=Cero,Nd18=Cero
Ne1=Cero,Ne2=Cero,Ne3=Cero,Ne4=Er1*C*D5,Ne5=Er1*C*D4,Ne6=Cero,Ne7=Cero,Ne8=Cero,Ne9=Cero,Ne10=E0*k2*M5*G*D10,Ne11=E0*k2*M5*G*D9,Ne12=Cero,Ne13=Cero,Ne14=Cero,Ne15=Cero,Ne16=Cero,Ne17=Cero,Ne18=Cero
Nf1=Cero,Nf2=Cero,Nf3=Cero,Nf4=M5T,Nf5=M5T,Nf6=M6T,Nf7=Cero,Nf8=Cero,Nf9=Cero,Nf10=k8*Uno,Nf11=k8*Uno,Nf12=Cero,Nf13=Cero,Nf14=Cero,Nf15=Cero,Nf16=Cero,Nf17=Cero,Nf18=Cero
Ng1=Cero,Ng2=E0*k3*M3*B*D3,Ng3=E0*k3*M3*B*D2,Ng4=Cero,Ng5=Cero,Ng6=Cero,Ng7=Er1*E*D7,Ng8=-Er1*E*D6,Ng9=Cero,Ng10=Cero,Ng11=Cero,Ng12=Cero,Ng13=Cero,Ng14=Cero,Ng15=Cero,Ng16=Cero,Ng17=Cero,Ng18=Cero
Nh1=Cero,Nh2=Cero,Nh3=Cero,Nh4=Cero,Nh5=Cero,Nh6=Cero,Nh7=Er1*E*D7,Nh8=Er1*E*D6,Nh9=Cero,Nh10=Cero,Nh11=Cero,Nh12=E0*k3*M7*H*D13,Nh13=-E0*k3*M7*H*D12,Nh14=Cero,Nh15=Cero,Nh16=Cero,Nh17=Cero,Nh18=Cero
Ni1=Cero,Ni2=E0*k4*M4*B*D3,Ni3=E0*k4*M4*B*D2,Ni4=Cero,Ni5=Cero,Ni6=Cero,Ni7=Cero,Ni8=Cero,Ni9=Er1*F*D8,Ni10=Cero,Ni11=Cero,Ni12=Cero,Ni13=Cero,Ni14=Cero,Ni15=Cero,Ni16=Cero,Ni17=Cero,Ni18=Cero
Nj1=Cero,Nj2=Cero,Nj3=Cero,Nj4=Cero,Nj5=Cero,Nj6=Er1*D*D11,Nj7=Cero,Nj8=Cero,Nj9=Cero,Nj10=E0*k5*M6*G*D10,Nj11=-E0*k5*M6*G*D9,Nj12=Cero,Nj13=Cero,Nj14=Cero,Nj15=Cero,Nj16=Cero,Nj17=Cero,Nj18=Cero
Nk1=Cero,Nk2=Cero,Nk3=Cero,Nk4=Cero,Nk5=Cero,Nk6=Cero,Nk7=Cero,Nk8=Cero,Nk9=Cero,Nk10=E0*G*D10,Nk11=E0*G*D9,Nk12=Cero,Nk13=Cero,Nk14=Er1*k6*M8*I*D15,Nk15=-Er1*k6*M8*I*D14,Nk16=Cero,Nk17=Cero,Nk18=Cero
Nl1=Cero,Nl2=Cero,Nl3=Cero,Nl4=Cero,Nl5=Cero,Nl6=Cero,Nl7=M7T,Nl8=M7T,Nl9=Cero,Nl10=Cero,Nl11=Cero,Nl12=-k9*Uno,Nl13=k9*Uno,Nl14=Cero,Nl15=Cero,Nl16=Cero,Nl17=Cero,Nl18=Cero
Nm1=Cero,Nm2=Cero,Nm3=Cero,Nm4=Cero,Nm5=Cero,Nm6=Cero,Nm7=Cero,Nm8=Cero,Nm9=Cero,Nm10=Cero,Nm11=Cero,Nm12=E0*k4*M9*H*D13,Nm13=E0*k4*M9*H*D12,Nm14=Cero,Nm15=Cero,Nm16=Er1*F*D16,Nm17=Cero,Nm18=Cero
Nn1=Cero,Nn2=Cero,Nn3=Cero,Nn4=Cero,Nn5=Cero,Nn6=Cero,Nn7=Cero,Nn8=Cero,Nn9=Cero,Nn10=Cero,Nn11=Cero,Nn12=Cero,Nn13=Cero,Nn14=k3*M10*I*D15,Nn15=k3*M10*I*D14,Nn16=Cero,Nn17=Cero,Nn18=E*D18
No1=Cero,No2=Cero,No3=Cero,No4=Cero,No5=Cero,No6=Cero,No7=Cero,No8=Cero,No9=Cero,No10=M8T,No11=M8T,No12=Cero,No13=Cero,No14=-k10*Uno,No15=k10*Uno,No16=Cero,No17=Cero,No18=Cero
Np1=Cero,Np2=Cero,Np3=Cero,Np4=Cero,Np5=Cero,Np6=Cero,Np7=Cero,Np8=Cero,Np9=Cero,Np10=Cero,Np11=Cero,Np12=k9*Uno,Np13=k9*Uno,Np14=Cero,Np15=Cero,Np16=-M9T,Np17=Cero,Np18=Cero
Nq1=Cero,Nq2=Cero,Nq3=Cero,Nq4=Cero,Nq5=Cero,Nq6=Cero,Nq7=Cero,Nq8=Cero,Nq9=Cero,Nq10=Cero,Nq11=Cero,Nq12=Cero,Nq13=Cero,Nq14=k6*M8*I*D15,Nq15=k6*M8*I*D14,Nq16=Cero,Nq17=G*D17,Nq18=Cero
Nr1=Cero,Nr2=Cero,Nr3=Cero,Nr4=Cero,Nr5=Cero,Nr6=Cero,Nr7=Cero,Nr8=Cero,Nr9=Cero,Nr10=Cero,Nr11=Cero,Nr12=Cero,Nr13=Cero,Nr14=k10*Uno,Nr15=k10*Uno,Nr16=Cero,Nr17=-M8T,Nr18=-M10T